specimen_id,Input resistance Log[(MOhm)],Tau Log[(ms)],Baseline voltage (mV),Sag,Rheo-AP Threshold (mV),Rheo-AP Peak (mV),Rheo-AP Upstroke (mV/ms),Rheo-AP width Log[(ms)],Rheo-AP Fast Trough (mV),Mean AP Threshold (mV),Mean AP Peak (mV),Mean AP Upstroke (mV/ms),Mean AP Width Log[(ms)],Mean AP Fast Trough (mV),Avg Firing Rate (Hz),Latency (s),dandiset label,species,specimen_id.1,brain_region,species_meta,contributor,umap X,umap Y,GMM cluster label,supervised umap X,supervised umap Y,norm umap X,norm umap Y,View Dandiset,File Download,View File Metadata,ID,Umap X,Umap Y,label,foldername
000109/sub-774230643/sub-774230643_ses-774377759_icephys.nwb,2.1692523968927064,1.4960105860546895,-64.09500885,0.169230267,-44.29999924,30.06250191,180.1172591,0.2405492482825997,-50.83124924,-44.29999924,30.06250191,180.1172591,0.00174,-50.83124924,1.0,0.16126,000109,Human,000109/sub-774230643/sub-774230643_ses-774377759_icephys.nwb,neocortex,Human,"Chartrand, Thomas",15.27691,18.445868,Cluster 9,-4.1155195,3.6549544,-17.690254,13.187333,https://dandiarchive.org/dandiset/000109,https://dandiarchive.s3.amazonaws.com/blobs/57f/a28/57fa28c4-ef58-4f87-aecd-2cf7739fb1be,https://api.dandiarchive.org/api/dandisets/000109/versions/draft/assets/342186f1-584d-4260-a343-0228e70a3dcc/,000109/sub-774230643/sub-774230643_ses-774377759_icephys.nwb,15.27691,18.445868,0,000109/sub-774230643/sub-774230643_ses-774377759_icephys.nwb
000209/sub-1102763099/sub-1102763099_ses-1112082666_icephys.nwb,2.1697108204177527,1.174424049243241,-66.99838257,0.239829555,-32.50000381,32.43750381,320.3653957,-0.2757241303992109,-56.625,-32.50000381,32.43750381,320.3653957,0.00053,-56.625,1.0,0.051575,000209,Human,000209/sub-1102763099/sub-1102763099_ses-1112082666_icephys.nwb,neocortex,Human,"Wakeman, Wayne",-8.189683,15.958427,Cluster 15,-2.285854,12.344723,24.829226,5.674451,https://dandiarchive.org/dandiset/000209,https://dandiarchive.s3.amazonaws.com/blobs/592/390/59239024-3b5f-4b6f-a928-0778b8d78206,https://api.dandiarchive.org/api/dandisets/000209/versions/draft/assets/4a67cc87-bf50-4a9b-a168-afb655d451f8/,000209/sub-1102763099/sub-1102763099_ses-1112082666_icephys.nwb,-8.189683,15.958427,1,000209/sub-1102763099/sub-1102763099_ses-1112082666_icephys.nwb
001359/sub-1250755141/sub-1250755141_ses-1250825199_icephys.nwb,3.405170010038568,1.2945207189843109,-63.78633499,0.121791765,-33.53125381,44.71875381,403.702132,-0.1804560644581313,-47.0625,-33.53125381,44.71875381,403.702132,0.00066,-47.0625,1.0,0.05838,001359,Human,001359/sub-1250755141/sub-1250755141_ses-1250825199_icephys.nwb,unknown,Human,"Gonzalez, Limary",9.432332,13.238133,Cluster 15,-4.3092995,11.840715,16.926132,-11.228356,https://dandiarchive.org/dandiset/001359,https://dandiarchive.s3.amazonaws.com/blobs/88f/a11/88fa1188-343b-4f9d-a787-60770656dcfa,https://api.dandiarchive.org/api/dandisets/001359/versions/draft/assets/c054ed58-9ecc-4ad9-9dc2-985eaf817aed/,001359/sub-1250755141/sub-1250755141_ses-1250825199_icephys.nwb,9.432332,13.238133,0,001359/sub-1250755141/sub-1250755141_ses-1250825199_icephys.nwb
000109/sub-651940947/sub-651940947_ses-652080787_icephys.nwb,2.330223545819789,1.0942924127133726,-61.73584747,0.032787099,-33.4375,52.3125,380.731125,-0.1549019599857432,-52.5625,-33.42708206,52.28125,377.2220188,0.0007,-52.41666794,3.0,0.22286,000109,Human,000109/sub-651940947/sub-651940947_ses-652080787_icephys.nwb,neocortex,Human,"Chartrand, Thomas",11.979326,16.785105,Cluster 0,-1.1478097,8.452206,5.716528,-16.745667,https://dandiarchive.org/dandiset/000109,https://dandiarchive.s3.amazonaws.com/blobs/e9c/76d/e9c76dbb-d649-49e5-a02c-b69235d6891c,https://api.dandiarchive.org/api/dandisets/000109/versions/draft/assets/f5b9954b-630a-4991-b949-f86258a6fbed/,000109/sub-651940947/sub-651940947_ses-652080787_icephys.nwb,11.979326,16.785105,0,000109/sub-651940947/sub-651940947_ses-652080787_icephys.nwb
000008/sub-mouse-NYQSO/sub-mouse-NYQSO_ses-20200106-sample-1_slice-20200106-slice-1_cell-20200106-sample-1_icephys.nwb,2.382206346857338,1.2247107063195697,-61.62254055,0.048672108,-30.48923425,41.88557714,147.3149302,0.146128035678238,-43.43711585,-28.21617667,38.19001745,120.6796007,0.00181,-43.20251103,6.666666667,0.03744,000008,House mouse,000008/sub-mouse-NYQSO/sub-mouse-NYQSO_ses-20200106-sample-1_slice-20200106-slice-1_cell-20200106-sample-1_icephys.nwb,motor cortex,House mouse,"Scala, Federico",16.792992,-3.7025099,Cluster 8,4.8079896,0.5214293,-11.729627,23.434868,https://dandiarchive.org/dandiset/000008,https://dandiarchive.s3.amazonaws.com/blobs/9ba/936/9ba936d0-1f99-4cf9-89d5-5c2c70288d88,https://api.dandiarchive.org/api/dandisets/000008/versions/draft/assets/fc342da0-875e-4106-9e6e-27920a53bc9e/,000008/sub-mouse-NYQSO/sub-mouse-NYQSO_ses-20200106-sample-1_slice-20200106-slice-1_cell-20200106-sample-1_icephys.nwb,16.792992,-3.7025099,2,000008/sub-mouse-NYQSO/sub-mouse-NYQSO_ses-20200106-sample-1_slice-20200106-slice-1_cell-20200106-sample-1_icephys.nwb
001359/sub-1369353330/sub-1369353330_ses-1371195155_icephys.nwb,2.322703721918596,1.392175627770131,-60.35956573,0.367361546,-38.56250381,37.5625,303.8118937,-0.0457574905606751,-57.12500381,-38.421875,37.09375,298.1218401,0.00091,-56.68750381,2.0,0.44364,001359,Human,001359/sub-1369353330/sub-1369353330_ses-1371195155_icephys.nwb,unknown,Human,"Gonzalez, Limary",8.8948555,23.24697,Cluster 18,-6.026026,4.892738,3.9065633,1.9602146,https://dandiarchive.org/dandiset/001359,https://dandiarchive.s3.amazonaws.com/blobs/93e/cdc/93ecdc45-1425-4c87-8e92-66ef666a39fa,https://api.dandiarchive.org/api/dandisets/001359/versions/draft/assets/bc90ad74-afd9-46b4-9f29-94d1a754269e/,001359/sub-1369353330/sub-1369353330_ses-1371195155_icephys.nwb,8.8948555,23.24697,0,001359/sub-1369353330/sub-1369353330_ses-1371195155_icephys.nwb
000020/sub-699347678/sub-699347678_ses-700673906_icephys.nwb,2.473258975989364,1.6937921233708777,-60.14837265,0.068269201,-33.5625,43.21875,304.2199901,-0.0655015487564322,-52.46875381,-32.26041794,40.59375,271.2562144,0.000886667,-51.5625,3.0,0.23188,000020,House mouse,000020/sub-699347678/sub-699347678_ses-700673906_icephys.nwb,visual cortex,House mouse,"Gouwens, Nathan",9.96278,19.000834,Cluster 1,-1.7138363,9.034944,-5.0397983,7.7471423,https://dandiarchive.org/dandiset/000020,https://dandiarchive.s3.amazonaws.com/blobs/29b/7ed/29b7edac-ece6-4867-a518-fa12e0b1385c,https://api.dandiarchive.org/api/dandisets/000020/versions/draft/assets/6ff62e37-6213-4930-9164-50a0c49b1dff/,000020/sub-699347678/sub-699347678_ses-700673906_icephys.nwb,9.96278,19.000834,0,000020/sub-699347678/sub-699347678_ses-700673906_icephys.nwb
001359/sub-1321888477/sub-1321888477_ses-1323490641_icephys.nwb,2.231644673424672,1.216912932365877,-58.07460785,0.33813116,-26.03125191,37.5,403.7896784,-0.3767507096020995,-54.09375381,-26.03125191,37.5,403.7896784,0.00042,-54.09375381,1.0,0.06916,001359,Human,001359/sub-1321888477/sub-1321888477_ses-1323490641_icephys.nwb,unknown,Human,"Gonzalez, Limary",-7.9051676,19.066692,Cluster 13,-7.273504,4.2413144,30.902262,10.442863,https://dandiarchive.org/dandiset/001359,https://dandiarchive.s3.amazonaws.com/blobs/014/09a/01409a5b-c41d-4264-96f8-944867e896ac,https://api.dandiarchive.org/api/dandisets/001359/versions/draft/assets/ebe307e7-e0c2-4344-99f3-65cbb950b563/,001359/sub-1321888477/sub-1321888477_ses-1323490641_icephys.nwb,-7.9051676,19.066692,3,001359/sub-1321888477/sub-1321888477_ses-1323490641_icephys.nwb
000008/sub-mouse-GXWEL/sub-mouse-GXWEL_ses-20190204-sample-17_slice-20190204-slice-13_cell-20190204-sample-17_icephys.nwb,2.4059966076624297,1.3162522725969392,-64.79440325,0.18843949,-47.70329595,34.84556824,240.100548,-0.1426675035687314,-64.86006081,-46.04375437,33.18229206,225.0686279,0.00074,-64.20317665,16.66666667,0.01296,000008,House mouse,000008/sub-mouse-GXWEL/sub-mouse-GXWEL_ses-20190204-sample-17_slice-20190204-slice-13_cell-20190204-sample-17_icephys.nwb,motor cortex,House mouse,"Scala, Federico",6.8128657,-11.113071,Cluster 11,4.8170147,3.2020376,28.592882,0.09164348,https://dandiarchive.org/dandiset/000008,https://dandiarchive.s3.amazonaws.com/blobs/52f/6c8/52f6c850-2a22-40ef-a3e9-0332548185f5,https://api.dandiarchive.org/api/dandisets/000008/versions/draft/assets/d85e39b5-bc62-4263-a6f2-c09e1b93ca32/,000008/sub-mouse-GXWEL/sub-mouse-GXWEL_ses-20190204-sample-17_slice-20190204-slice-13_cell-20190204-sample-17_icephys.nwb,6.8128657,-11.113071,4,000008/sub-mouse-GXWEL/sub-mouse-GXWEL_ses-20190204-sample-17_slice-20190204-slice-13_cell-20190204-sample-17_icephys.nwb
001359/sub-1260690332/sub-1260690332_ses-1262473417_icephys.nwb,2.5181024723562246,1.4157475057379658,-50.19438553,0.073534928,-34.15625,41.90625381,300.7627564,-0.1426675035687314,-47.65625381,-34.15625,41.90625381,300.7627564,0.00072,-47.65625381,1.0,0.56814,001359,Human,001359/sub-1260690332/sub-1260690332_ses-1262473417_icephys.nwb,unknown,Human,"Gonzalez, Limary",11.24242,23.872421,Cluster 13,-5.666865,1.3531692,1.0813097,2.0927796,https://dandiarchive.org/dandiset/001359,https://dandiarchive.s3.amazonaws.com/blobs/d0f/bd6/d0fbd65b-fd40-47a6-a859-b620b29835ee,https://api.dandiarchive.org/api/dandisets/001359/versions/draft/assets/f377b7ea-9fd6-450f-9d53-88fdcff554cc/,001359/sub-1260690332/sub-1260690332_ses-1262473417_icephys.nwb,11.24242,23.872421,0,001359/sub-1260690332/sub-1260690332_ses-1262473417_icephys.nwb
